APPLICATION;INTERFACE_IN;IF_IN_PIN;IF_IN_DATA;IF_IN_USE;IF_IN_USE_PIN
ICC-CADB;ACCM_REC;1;MSN_ALLOCATION;;
ICC-CADB;HUMAN;1;PROGRAM_CASCADE;;
ICC-CADB;DICTIONARY;3;CA_CI_LINK;;
ICC-CADB;HUMAN;2;SPEC_IMPACT;;
ICC-CADB;DEF_FEEDBACK;5;DEF_IMPACT;;
ICC-CADB;MSN_CAPN;1;MSN_CA_PN;;
ACMM;CDC_ICC_REP;1;MSN_CA;ASB_ACMM;1
ACMM;CDC_ICC_REP;2;MSN_CA_LINK;ASB_ACMM;2
ACMM;CDC_ICC_REP;3;MSN_CI;ASB_ACMM;3
ACMM;CDC_ICC_REP;4;MSN_CA_CI_LINK;ASB_ACMM;4
ACMM;CDC_ICC_REP;5;MSN_CIN_CA_LINK;ASB_ACMM;5
ACMM;CDC_ICC_REP;6;MSN_CIN_CI_LINK;ASB_ACMM;6
APS;CDC_APS_REP;1;MSN_CA;ASB_APS;1
APS;CDC_APS_REP;2;MSN_CA_LINK;ASB_APS;2
APS;CDC_APS_REP;3;MSN_CI;ASB_APS;3
APS;CDC_APS_REP;4;MSN_CA_CI_LINK;ASB_APS;4
APS;CDC_APS_REP;5;MSN_CIN_CA_LINK;ASB_APS;5
APS;CDC_APS_REP;6;MSN_CIN_CI_LINK;ASB_APS;6
SAP;ATTESTATION;1;MSN_CA;CHAP_024;1
SAP;ATTESTATION;2;MSN_CA_LINK;CHAP_024;2
SAP;ATTESTATION;3;MSN_CI;CHAP_024;3
SAP;ATTESTATION;4;MSN_CA_CI_LINK;CHAP_024;4
SAP;ATTESTATION;5;MSN_CIN_CA_LINK;CIN_CI;1
SAP;ATTESTATION;6;MSN_CIN_CI_LINK;CIN_CI;2
