APPLICATION;INTERFACE_OUT;IF_OU_PIN;IF_OU_DATA;IF_OU_USE;IF_OU_USE_PIN
ICC-CADB;ASB_ACMM;1;MSN_CA;MSN_COMPILATION;20
ICC-CADB;ASB_ACMM;2;MSN_CA_LINK;MSN_COMPILATION;21
ICC-CADB;ASB_ACMM;3;MSN_CI;MSN_COMPILATION;22
ICC-CADB;ASB_ACMM;4;MSN_CA_CI_LINK;MSN_COMPILATION;23
ICC-CADB;ASB_ACMM;5;MSN_CIN_CA_LINK;MSN_COMPILATION;24
ICC-CADB;ASB_ACMM;6;MSN_CIN_CI_LINK;MSN_COMPILATION;25
ICC-CADB;ASB_APS;1;MSN_CA;MSN_COMPILATION;20
ICC-CADB;ASB_APS;2;MSN_CA_LINK;MSN_COMPILATION;21
ICC-CADB;ASB_APS;3;MSN_CI;MSN_COMPILATION;22
ICC-CADB;ASB_APS;4;MSN_CA_CI_LINK;MSN_COMPILATION;23
ICC-CADB;ASB_APS;5;MSN_CIN_CA_LINK;MSN_COMPILATION;24
ICC-CADB;ASB_APS;6;MSN_CIN_CI_LINK;MSN_COMPILATION;25
ACMM;CHAP_024;1;MSN_CA;CDC_ICC_REP;1
ACMM;CHAP_024;2;MSN_CA_LINK;CDC_ICC_REP;2
ACMM;CHAP_024;3;MSN_CI;CDC_ICC_REP;3
ACMM;CHAP_024;4;MSN_CA_CI_LINK;CDC_ICC_REP;4
ACMM;CIN_CI;1;MSN_CIN_CA_LINK;CDC_ICC_REP;5
ACMM;CIN_CI;2;MSN_CIN_CI_LINK;CDC_ICC_REP;6
